,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
90,"['LIMELIGHT', 'ALKARAMSTUDIO']",['HUSHPUPPIES'],0.022727273,0.170454545,0.011363636,0.5,2.933333333,0.007489669,1.659090909
91,"['ALKARAMSTUDIO', 'LIMELIGHT']",['Junaid Jamshad'],0.011363636,0.409090909,0.011363636,1,2.444444444,0.006714876,inf
92,"['SANASAFINAZ', 'ALKARAMSTUDIO']",['Junaid Jamshad'],0.022727273,0.409090909,0.011363636,0.5,1.222222222,0.002066116,1.181818182
93,"['SANASAFINAZ', 'Junaid Jamshad']",['ALKARAMSTUDIO'],0.022727273,0.136363636,0.011363636,0.5,3.666666667,0.008264463,1.727272727
94,"['ALKARAMSTUDIO', 'BONANZA']",['Junaid Jamshad'],0.022727273,0.409090909,0.011363636,0.5,1.222222222,0.002066116,1.181818182
95,"['LIMELIGHT', 'ALKARAMSTUDIO']",['Junaid Jamshad'],0.022727273,0.409090909,0.011363636,0.5,1.222222222,0.002066116,1.181818182
96,"['LIMELIGHT', 'Junaid Jamshad']",['ALKARAMSTUDIO'],0.011363636,0.136363636,0.011363636,1,7.333333333,0.00981405,inf
97,"['SANASAFINAZ', 'ALKARAMSTUDIO']",['LIMELIGHT'],0.022727273,0.125,0.011363636,0.5,4,0.008522727,1.75
98,"['ALKARAMSTUDIO', 'LIMELIGHT']",['SANASAFINAZ'],0.011363636,0.079545455,0.011363636,1,12.57142857,0.010459711,inf
99,"['ALKARAMSTUDIO', 'LIMELIGHT']",['KHAADI'],0.011363636,0.272727273,0.011363636,1,3.666666667,0.008264463,inf
100,"['WARDA', 'ALKARAMSTUDIO']",['MARIA.B'],0.011363636,0.136363636,0.011363636,1,7.333333333,0.00981405,inf
101,"['WARDA', 'MARIA.B']",['ALKARAMSTUDIO'],0.022727273,0.136363636,0.011363636,0.5,3.666666667,0.008264463,1.727272727
102,"['MARIA.B', 'KAYSERIA']",['ALKARAMSTUDIO'],0.011363636,0.136363636,0.011363636,1,7.333333333,0.00981405,inf
103,"['ALKARAMSTUDIO', 'KAYSERIA']",['MARIA.B'],0.011363636,0.136363636,0.011363636,1,7.333333333,0.00981405,inf
104,"['CHENONE', 'ALKARAMSTUDIO']",['MARIA.B'],0.022727273,0.136363636,0.011363636,0.5,3.666666667,0.008264463,1.727272727
105,"['CHENONE', 'MARIA.B']",['ALKARAMSTUDIO'],0.011363636,0.136363636,0.011363636,1,7.333333333,0.00981405,inf
106,"['ALKARAMSTUDIO', 'MARIA.B']",['KHAADI'],0.045454545,0.272727273,0.022727273,0.5,1.833333333,0.010330579,1.454545455
107,"['ALKARAMSTUDIO', 'KHAADI']",['MARIA.B'],0.045454545,0.136363636,0.022727273,0.5,3.666666667,0.016528926,1.727272727
108,"['MARIA.B', 'KHAADI']",['ALKARAMSTUDIO'],0.045454545,0.136363636,0.022727273,0.5,3.666666667,0.016528926,1.727272727
109,"['LIMELIGHT', 'ALKARAMSTUDIO']",['MARIA.B'],0.022727273,0.136363636,0.011363636,0.5,3.666666667,0.008264463,1.727272727
110,"['LIMELIGHT', 'MARIA.B']",['ALKARAMSTUDIO'],0.011363636,0.136363636,0.011363636,1,7.333333333,0.00981405,inf
111,"['SANASAFINAZ', 'ALKARAMSTUDIO']",['METRO'],0.022727273,0.147727273,0.011363636,0.5,3.384615385,0.008006198,1.704545455
