"product_id","brand_name","gender_category","category_name","title","price","sale_price","product_link","image_link","image_link2","rating","status","datee","detail","brand_id","category_id","gender_id","overview"
"1033","Gul Ahmed","female","pant","Black TR-19-20","4290","2145","https://www.gulahmedshop.com/black-tr-19-20","https://www.gulahmedshop.com/media/catalog/product/t/r/tr-19-20_black_1__3.jpg?optimize=medium&bg-color=255,255,255&fit=bounds&height=420&width=280&canvas=280:420","https://www.gulahmedshop.com/media/catalog/product/t/r/tr-19-20_black_2__3.jpg?optimize=medium&bg-color=255,255,255&fit=bounds&height=420&width=280&canvas=280:420","Good","avb","2021-10-30",NULL,"2","2","1","Gul Ahmed female pant Black TR-19-20 female"
"1034","Gul Ahmed","female","shoes","Orange -9175","3599","1800","https://www.gulahmedshop.com/orange-9175","https://www.gulahmedshop.com/media/catalog/product/2/1/218812_1__1.jpg?optimize=medium&bg-color=255,255,255&fit=bounds&height=420&width=280&canvas=280:420","https://www.gulahmedshop.com/media/catalog/product/2/1/218812_3__1.jpg?optimize=medium&bg-color=255,255,255&fit=bounds&height=420&width=280&canvas=280:420","Good","avb","2021-10-30",NULL,"2","11","1","Gul Ahmed female shoes Orange -9175 female"
"1035","Gul Ahmed","female","kameezshalwar_stitched","Cambric Dyed Embroidered Shirt WGK-CMS-DE-211","5590","4190","https://www.gulahmedshop.com/cambric-dyed-embroidered-shirt-wgk-cms-de-211","https://www.gulahmedshop.com/media/catalog/product/p/e/pekqwsaxsdhuhgfuesdbcujsacusau_2_.jpg?optimize=medium&bg-color=255,255,255&fit=bounds&height=420&width=280&canvas=280:420","https://www.gulahmedshop.com/media/catalog/product/p/e/pekqwsaxsdhuhgfuesdbcujsacusau_1_.jpg?optimize=medium&bg-color=255,255,255&fit=bounds&height=420&width=280&canvas=280:420","Good","avb","2021-10-30",NULL,"2","4","1","Gul Ahmed female kameezshalwar_stitched Cambric Dyed Embroidered Shirt WGK-CMS-DE-211 female"
"1036","Gul Ahmed","female","bags","Silver Ladies Bag -IDB-21-10","4599","2760","https://www.gulahmedshop.com/silver-ladies-bag-idb-21-10","https://www.gulahmedshop.com/media/catalog/product/2/4/249322_3_.jpg?optimize=medium&bg-color=255,255,255&fit=bounds&height=420&width=280&canvas=280:420","https://www.gulahmedshop.com/media/catalog/product/2/4/249322_2_.jpg?optimize=medium&bg-color=255,255,255&fit=bounds&height=420&width=280&canvas=280:420","Good","avb","2021-10-30",NULL,"2","12","1","Gul Ahmed female bags Silver Ladies Bag -IDB-21-10 female"
"1037","Gul Ahmed","Male","shirt_pant","Red Formal Shirt CVC-YD-494 HS","2495","1872","https://www.gulahmedshop.com/red-formal-shirt-cvc-yd-494-hs","https://www.gulahmedshop.com/media/catalog/product/r/e/red_formal_shirt_cvc-yd-494_hs_3_.jpg?optimize=medium&bg-color=255,255,255&fit=bounds&height=420&width=280&canvas=280:420","https://www.gulahmedshop.com/media/catalog/product/r/e/red_formal_shirt_cvc-yd-494_hs_4_.jpg?optimize=medium&bg-color=255,255,255&fit=bounds&height=420&width=280&canvas=280:420","Good","avb","2021-10-30",NULL,"2","3","2","Gul Ahmed Male shirt_pant Red Formal Shirt CVC-YD-494 HS Male"
"1038","Gul Ahmed","female","shirt","Boxy T-shirt SLS-21-101 B","990","743","https://www.gulahmedshop.com/boxy-t-shirt-sls-21-101-b","https://www.gulahmedshop.com/media/catalog/product/s/l/sls_21-101_b_1_.jpg?optimize=medium&bg-color=255,255,255&fit=bounds&height=420&width=280&canvas=280:420","https://www.gulahmedshop.com/media/catalog/product/s/l/sls_21-101_b_8_.jpg?optimize=medium&bg-color=255,255,255&fit=bounds&height=420&width=280&canvas=280:420","Good","avb","2021-10-30",NULL,"2","1","1","Gul Ahmed female shirt Boxy T-shirt SLS-21-101 B female"
"1039","Gul Ahmed","Male","kameezshalwar_stitched","Black Fashion Kurta KS-847","3495","1748","https://www.gulahmedshop.com/black-fashion-kurta-ks-847","https://www.gulahmedshop.com/media/catalog/product/b/l/black_fashion_kurta_ks-847_3_.jpg?optimize=medium&bg-color=255,255,255&fit=bounds&height=420&width=280&canvas=280:420","https://www.gulahmedshop.com/media/catalog/product/b/l/black_fashion_kurta_ks-847_2_.jpg?optimize=medium&bg-color=255,255,255&fit=bounds&height=420&width=280&canvas=280:420","Good","avb","2021-10-30",NULL,"2","4","2","Gul Ahmed Male kameezshalwar_stitched Black Fashion Kurta KS-847 Male"
"1040","Gul Ahmed","Male","kameezshalwar_unstitched","Grey Unstitched Fabric Tanabana Royal YN#2","5783","3474","https://www.gulahmedshop.com/grey-unstitched-fabric-tanabana-royal-yn-2","https://www.gulahmedshop.com/media/catalog/product/_/m/_m2a4580_3_1.jpg?optimize=medium&bg-color=255,255,255&fit=bounds&height=420&width=280&canvas=280:420","https://www.gulahmedshop.com/media/catalog/product/_/m/_m2a4583_2_1.jpg?optimize=medium&bg-color=255,255,255&fit=bounds&height=420&width=280&canvas=280:420","Good","avb","2021-10-30",NULL,"2","5","2","Gul Ahmed Male kameezshalwar_unstitched Grey Unstitched Fabric Tanabana Royal YN#2 Male"
"1041","Gul Ahmed","kid","shirt_pant","Denim Shirt GLW-20-201","2250","1125","https://www.gulahmedshop.com/denim-shirt-glw-20-201","https://www.gulahmedshop.com/media/catalog/product/g/l/glw-19-201_2__3.jpg?optimize=medium&bg-color=255,255,255&fit=bounds&height=420&width=280&canvas=280:420","https://www.gulahmedshop.com/media/catalog/product/g/l/glw-19-201_1__3.jpg?optimize=medium&bg-color=255,255,255&fit=bounds&height=420&width=280&canvas=280:420","Good","avb","2021-10-30",NULL,"2","3","3","Gul Ahmed kid shirt_pant Denim Shirt GLW-20-201 kid"
"1042","Gul Ahmed","women","kameezshalwar_unstitched","3 PC Unstitched Lawn Printed Suit CLP-116 B","2790","2093","https://www.gulahmedshop.com/3-pc-unstitched-lawn-printed-suit-clp-116-b","https://www.gulahmedshop.com/media/catalog/product/t/r/truijfdncbhvgcfdxswerr5678uiolk_1_.jpg?optimize=medium&bg-color=255,255,255&fit=bounds&height=420&width=280&canvas=280:420","https://www.gulahmedshop.com/media/catalog/product/t/r/truijfdncbhvgcfdxswerr5678uiolk_4_.jpg?optimize=medium&bg-color=255,255,255&fit=bounds&height=420&width=280&canvas=280:420","Good","avb","2021-10-30",NULL,"2","5","1","Gul Ahmed women kameezshalwar_unstitched 3 PC Unstitched Lawn Printed Suit CLP-116 B women"
"1043","Gul Ahmed","female","pant","White Embroidered Raw Silk Pants TR-21-55","2890","2170","https://www.gulahmedshop.com/white-embroidered-raw-silk-pants-tr-21-55","https://www.gulahmedshop.com/media/catalog/product/t/r/tr-21-55_white_2_.jpg?optimize=medium&bg-color=255,255,255&fit=bounds&height=420&width=280&canvas=280:420","https://www.gulahmedshop.com/media/catalog/product/t/r/tr-21-55_white_1_.jpg?optimize=medium&bg-color=255,255,255&fit=bounds&height=420&width=280&canvas=280:420","Good","avb","2021-10-30",NULL,"2","2","1","Gul Ahmed female pant White Embroidered Raw Silk Pants TR-21-55 female"
"1044","Gul Ahmed","female","shoes","Blue -9176","3699","1850","https://www.gulahmedshop.com/blue-9176","https://www.gulahmedshop.com/media/catalog/product/2/1/218817_1__1.jpg?optimize=medium&bg-color=255,255,255&fit=bounds&height=420&width=280&canvas=280:420","https://www.gulahmedshop.com/media/catalog/product/2/1/218817_2__1.jpg?optimize=medium&bg-color=255,255,255&fit=bounds&height=420&width=280&canvas=280:420","Good","avb","2021-10-30",NULL,"2","11","1","Gul Ahmed female shoes Blue -9176 female"
"1045","Gul Ahmed","female","kameezshalwar_stitched","Digital Printed Cotton Shirt GLS-21-67","3290","2303","https://www.gulahmedshop.com/digital-printed-cotton-shirt-gls-21-67","https://www.gulahmedshop.com/media/catalog/product/g/l/gls-21-67_dp_6__1.jpg?optimize=medium&bg-color=255,255,255&fit=bounds&height=420&width=280&canvas=280:420","https://www.gulahmedshop.com/media/catalog/product/g/l/gls-21-67_dp_5__1.jpg?optimize=medium&bg-color=255,255,255&fit=bounds&height=420&width=280&canvas=280:420","Good","avb","2021-10-30",NULL,"2","4","1","Gul Ahmed female kameezshalwar_stitched Digital Printed Cotton Shirt GLS-21-67 female"
